analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
35,535,40.1127521728,3.0326194054,5.7783632642,7.4214533316
36,536,40.2151687673,3.1350359998,3.8076582750,6.2244889835
37,537,40.4449061409,3.3647733735,5.4618884593,5.7485924663
38,538,40.5597889589,3.4796561915,4.5068900051,9.2430719910
39,539,40.5820736935,3.5019409261,6.7881812307,1.4963770471
40,540,40.6208209008,3.5406881334,7.2930905779,0.1024058261
41,541,40.6265964601,3.5464636926,5.2842562449,6.4304116810
42,542,40.7332257871,3.6530930196,8.0184686958,8.2216752714
43,543,40.7388430825,3.6587103150,8.7154503112,1.1525964164
44,544,40.7824566802,3.7023239127,8.9539946177,6.8521657417
45,545,40.8363965086,3.7562637412,2.4993706638,6.5816987416
46,546,40.8462611704,3.7661284029,1.5599092826,3.8270958462
47,547,40.8858509276,3.8057181602,6.4429801202,8.5461275996
48,548,40.9230734562,3.8429406888,3.1087320860,2.2367460442
49,549,40.9278842784,3.8477515110,4.5071431131,8.5013182886
50,550,40.9558674553,3.8757346879,0.7871506135,9.2460210729
51,551,41.0391543488,3.9590215814,2.5289137151,9.0316586109
52,552,41.1496346968,4.0695019293,5.2834168416,2.7403563940
53,553,41.2498569690,4.1697242015,4.6480151297,5.0502386505
54,554,41.2796263118,4.1994935444,8.1732230716,4.9916585694
55,555,41.3061197489,4.2259869814,9.7753264226,8.5417565674
56,556,41.3547673252,4.2746345578,5.0286539659,8.4934938976
57,557,41.4957752297,4.4156424623,3.3000628003,7.7088353500
58,558,41.5312934617,4.4511606943,8.8021591518,3.7153851044
59,559,41.7086638087,4.6285310412,4.8936849882,7.0355659572
60,560,41.7852236460,4.7050908785,3.5930984984,7.5637145770
61,561,41.7918570225,4.7117242551,2.9156280986,4.6575099066
62,562,41.9180689027,4.8379361353,4.3358945949,4.0966940294
63,563,42.0923890238,5.0122562564,7.2452068954,8.1880147759
64,564,42.1654333959,5.0853006284,6.2874850195,1.2336573476
65,565,42.2150884512,5.1349556838,3.7730700897,9.9022163235
66,566,42.3226500003,5.2425172329,5.1726812267,2.9660226407
67,567,42.3718671432,5.2917343758,2.5266357588,7.4503631313
68,568,42.3923360497,5.3122032823,5.4847742683,1.1416925274
69,569,42.4168900725,5.3367573051,6.2333029685,8.5881597251
70,570,42.4540963449,5.3739635775,6.1942102378,1.9172972270
71,571,42.4686874623,5.3885546948,7.5235223918,4.5267905272
72,572,42.4690736918,5.3889409244,7.3748144922,5.3509974035
73,573,42.5168562693,5.4367235019,6.7187055414,8.9723815748
74,574,42.5880026381,5.5078698706,7.3129772345,3.1154289615
75,575,42.6319206109,5.5517878435,9.4242717745,4.1225654827
76,576,42.7916965119,5.7115637445,7.6190743077,2.1681294330
77,577,42.8356784261,5.7555456587,6.5526057237,5.1330308055
