analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y
128,628,63.2028925034,12.7370440442,6.2946740071,4.0201543093
129,629,63.5676414464,13.1017929872,2.0544227612,0.2553742470
130,630,64.0887138449,13.6228653857,7.0540394720,8.8589132011
131,631,64.1293932441,13.6635447849,6.8643300286,8.3426432478
132,632,64.1419358533,13.6760873941,9.0973993869,4.8082955287
133,633,64.1517581655,13.6859097063,7.3431904330,7.6178808835
134,634,64.2600391849,13.7941907257,9.6481378351,8.3568803490
135,635,64.3155286988,13.8496802396,4.9147480463,1.3123791023
136,636,64.3543324620,13.8884840028,9.8954251264,4.0925012840
137,637,64.4839782021,14.0181297429,6.4629170513,1.1196289155
138,638,64.6919286193,14.2260801601,5.0366315300,4.7220634535
139,639,64.7652873906,14.2994389314,5.1378030077,2.8856333169
140,640,64.7728673977,14.3070189385,9.9196653091,7.0875157980
141,641,64.7989645978,14.3331161386,1.7090032094,4.3644926971
142,642,64.9533513448,14.4875028856,6.3885211066,1.3518252661
143,643,65.0251575059,14.5593090467,8.9316271077,4.5005999491
144,644,65.2058734431,14.7400249839,2.9023844075,1.3224982460
145,645,65.2443017440,14.7784532848,7.1460404212,5.1760946621
146,646,65.3472072951,14.8813588359,7.7070205812,5.5037653104
147,647,65.4465448695,14.9806964103,3.1166138345,6.8477174407
148,648,65.4802744076,15.0144259484,1.1847649400,8.5314723081
149,649,65.6030941701,15.1372457109,7.9300991947,9.8990209765
150,650,65.6311148431,15.1652663839,9.7624653339,3.6401228064
151,651,65.6381034877,15.1722550285,0.3422728044,1.0660406510
152,652,65.6733330484,15.2074845892,9.8257466955,0.5952726312
153,653,65.6947130843,15.2288646251,7.3203917329,3.8157158663
154,654,65.7272293463,15.2613808871,5.0823709488,2.9717177856
155,655,65.8026712612,15.3368228020,9.8858201496,3.3104987584
156,656,65.8072726528,15.3414241936,8.4697891411,6.0123686672
157,657,65.8392683283,15.3734198691,9.1800057663,0.1896306346
158,658,65.9177640837,15.4519156245,6.2853844384,7.3414921053
159,659,65.9722265187,15.5063780595,5.9303009115,9.0650293381
160,660,65.9761202373,15.5102717781,7.6995452701,9.8960967688
161,661,66.0254467218,15.5595982626,8.1705978963,1.7200449955
162,662,66.5543535258,16.0885050666,6.3769323596,0.2046125074
163,663,66.6740020230,16.2081535638,1.2557004983,6.0929024921
164,664,66.7219558084,16.2561073492,4.1610545764,4.8393352844
165,665,66.9003261091,16.4344776499,1.2270757991,7.2641461286
166,666,66.9483749396,16.4825264804,9.1464218858,7.9650932000
167,667,67.0121138315,16.5462653723,8.0541059332,6.1797917739
168,668,67.0635820727,16.5977336134,6.6462263887,5.9555180563
169,669,67.0889617878,16.6231133286,3.9069500808,2.1397723382
170,670,67.1033725309,16.6375240717,8.5913996336,3.0309631049
171,671,67.1745394183,16.7086909591,0.6524282422,6.1895591392
172,672,67.2976572642,16.8318088050,7.3096669368,6.9700267135
173,673,67.3570298992,16.8911814400,7.0253055156,5.3940469031
174,674,67.3908745204,16.9250260612,4.8378857085,7.3587431153
175,675,67.4495048772,16.9836564180,0.6209535684,6.5694711237
176,676,67.4733547097,17.0075062505,2.3198259063,4.9493867907
177,677,67.5640666487,17.0982181895,6.9405584748,3.1575903940
178,678,67.6430066622,17.1771582030,7.9355771643,4.2746883502
179,679,67.7676107552,17.3017622960,4.2946041463,5.5137299351
180,680,67.7853029497,17.3194544904,0.5233909814,3.7993951900
181,681,67.8357064155,17.3698579563,3.3797089339,9.4017521965
182,682,67.8940350570,17.4281865978,8.2384027622,9.3674363949
183,683,67.9310165303,17.4651680711,0.0088016881,1.1517683532
184,684,68.1274823849,17.6616339257,6.8454254305,9.9072642102
185,685,68.1727936655,17.7069452062,0.4545906224,0.0976914184
186,686,68.2128977976,17.7470493383,8.3686753103,0.9595428114
187,687,68.2819254838,17.8160770246,8.1352503137,2.3809956458
188,688,68.3844663087,17.9186178495,8.5357420696,0.2150231096
189,689,69.2727073097,18.8068588505,0.0468738498,7.3193141814
190,690,69.3458957365,18.8800472773,3.0599489652,5.1314230352
191,691,69.4255810808,18.9597326216,8.1476639836,7.4423015555
192,692,69.4645064040,18.9986579447,4.4382767675,5.6037027752
193,693,69.5034655217,19.0376170625,6.4497821980,4.0136463314
194,694,69.5174544579,19.0516059987,5.8727297896,0.5943033026
195,695,69.5403480347,19.0744995755,9.7104167445,9.1767000712
196,696,69.6525768655,19.1867284063,1.5078429458,5.2118035583
197,697,69.6853330275,19.2194845683,3.8988219029,9.3669376213
198,698,69.8083696288,19.3425211696,1.0619074793,4.3963379422
199,699,69.9576961545,19.4918476953,5.3594352091,5.9780124524
200,700,70.0184587426,19.5526102834,5.4468302534,9.8806613348
