analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
537,1037,51.8612576706,26.4995533390,0.7256891382,9.4242000093,0
538,1038,52.7514167083,27.3897123767,4.0431110733,1.5287547783,1
539,1039,52.7857379883,27.4240336567,2.2865707651,0.1605000219,0
540,1040,52.7865996937,27.4248953621,3.0429486651,2.0395291735,0
541,1041,52.8211247749,27.4594204433,6.3913648080,9.7995128244,1
542,1042,52.8301477646,27.4684434330,2.2339568984,1.7978757015,0
543,1043,52.8349327586,27.4732284270,8.0504076911,7.1236460991,0
544,1044,52.9526642260,27.5909598944,8.8135984048,9.7440539608,0
545,1045,53.0476726810,27.6859683494,4.1636713003,2.9280004521,1
546,1046,53.1094422981,27.7477379666,5.7514264983,5.9324288916,1
547,1047,53.1204447053,27.7587403737,6.2947222003,5.7092787625,1
548,1048,53.1225658856,27.7608615540,4.2448683100,0.2974013405,1
549,1049,53.2570828852,27.8953785537,1.6131016605,2.8559608616,0
550,1050,53.3075776097,27.9458732781,4.4408692588,3.7083748997,1
551,1051,53.3384093440,27.9767050125,5.5853100423,5.3527332233,1
552,1052,53.3861679099,28.0244635783,4.0198134352,3.3357720938,1
553,1053,53.4159390023,28.0542346707,3.7989832486,0.6442423557,1
554,1054,53.4321275145,28.0704231829,4.8928775658,0.9744395877,1
555,1055,53.4349592531,28.0732549215,2.7791212782,1.3140322376,0
556,1056,53.4902463903,28.1285420588,5.6107714101,4.3509362129,1
557,1057,53.5135540284,28.1518496968,9.3638623514,9.2973532899,0
558,1058,53.5185594997,28.1568551681,5.2175867268,6.1642034604,1
559,1059,53.6575529739,28.2958486423,1.8957294498,3.2639931347,0
560,1060,53.7063279627,28.3446236311,1.2693869015,2.6465916861,0
561,1061,53.8372938297,28.4755894982,2.3759151415,1.4955769727,0
562,1062,53.8472512235,28.4855468920,3.1858177981,9.5194632294,0
563,1063,53.8947835834,28.5330792518,0.7905707682,6.3687792607,1
564,1064,53.9652751171,28.6035707855,1.1574192468,0.0423283607,0
565,1065,53.9890772652,28.6273729336,0.3493583775,7.4755371888,0
566,1066,54.0742853249,28.7125809933,6.5154288573,9.7182567755,1
567,1067,54.0891822348,28.7274779032,2.9446555885,7.5567425797,0
568,1068,54.1222023731,28.7604980416,2.7614714245,7.0837581425,0
569,1069,54.1265099427,28.7648056111,0.4759229231,4.0750808620,1
570,1070,54.1422800445,28.7805757130,4.2776097625,9.9841781463,1
571,1071,54.2464351388,28.8847308072,0.5993909860,0.6743397762,0
572,1072,54.2655406943,28.9038363627,4.8153106943,1.4277736572,1
573,1073,54.4054562341,29.0437519025,1.3681374882,4.4905749986,1
574,1074,54.5276338310,29.1659294995,5.6036850209,4.4896660525,1
575,1075,54.5298549807,29.1681506491,2.1986353927,6.7376948647,0
576,1076,54.5472077701,29.1855034385,9.9706335768,9.4434169301,0
577,1077,54.5511954306,29.1894910990,6.8204126104,9.0886704884,0
578,1078,54.6325915789,29.2708872473,1.4949290894,9.7827538838,0
579,1079,54.6358754282,29.2741710967,2.9509187886,4.2941319237,1
580,1080,54.7714693269,29.4097649954,4.0058944554,8.6866330579,1
581,1081,54.8128577129,29.4511533813,3.3499746491,0.5496190391,1
582,1082,54.8184880861,29.4567837546,0.4747974452,0.2291127551,0
583,1083,54.9121648694,29.5504605378,4.7024864240,8.2993848343,1
584,1084,54.9152800964,29.5535757648,3.7157568188,1.8185958555,1
585,1085,54.9164861362,29.5547818046,4.3311509706,1.1838262008,1
586,1086,54.9270359464,29.5653316148,5.4453486149,3.5348637367,1
587,1087,54.9580601257,29.5963557941,7.5800847437,1.0556044300,0
588,1088,54.9656956171,29.6039912856,1.6964665021,1.5420481578,0
589,1089,54.9736715423,29.6119672107,4.2437932754,7.8660909459,1
590,1090,55.0048385972,29.6431342656,8.8447771913,0.5898522609,0
591,1091,55.0284230438,29.6667187122,9.5188494037,1.6342631758,0
592,1092,55.0342322025,29.6725278709,9.2896837683,1.9198430030,0
593,1093,55.0716444167,29.7099400851,3.1929864245,8.1912549447,0
594,1094,55.1113742489,29.7496699173,8.5871609264,2.5108810060,0
595,1095,55.1633472455,29.8016429139,7.5510727799,1.3829906481,0
596,1096,55.2557911878,29.8940868562,7.4829926118,4.0903802085,0
597,1097,55.2613489964,29.8996446648,5.2906571171,5.3913358525,1
598,1098,55.2766988060,29.9149944744,9.4342988305,2.7115845099,0
599,1099,55.3253116962,29.9636073646,5.9447527336,1.6777604313,1
600,1100,55.3560307458,29.9943264143,0.4501842201,5.0539562747,1
601,1101,55.3802783864,30.0185740548,6.1656179199,8.8943131902,1
602,1102,55.3998311997,30.0381268681,0.0087445161,2.5023347207,0
603,1103,55.4020755115,30.0403711799,7.1841377861,2.2219987094,0
604,1104,55.4258079553,30.0641036237,8.3483384517,3.7423847362,0
605,1105,55.4974949304,30.1357905989,2.6583324350,2.2514495531,0
606,1106,55.5045679735,30.1428636420,6.6131930583,4.1400916013,1
607,1107,55.7147999223,30.3530955907,6.9864287309,2.7565335616,0
608,1108,55.8296672137,30.4679628821,9.4552868533,9.5260116563,0
609,1109,55.8488814894,30.4871771578,7.5813639603,8.7988683808,0
610,1110,55.9438033023,30.5820989708,6.3022505743,9.8788697039,1
611,1111,55.9867327275,30.6250283959,8.9104217816,9.7401961590,0
612,1112,55.9913954261,30.6296910946,9.0827826529,8.8767599173,0
613,1113,55.9945029158,30.6327985843,7.8826382091,9.0697768243,0
614,1114,56.3040630299,30.9423586984,6.5463444796,0.5076361765,1
615,1115,56.3147363166,30.9530319851,8.7072011701,2.2675261474,0
616,1116,56.3301301294,30.9684257978,7.5938920234,6.3872045795,0
617,1117,56.3588098644,30.9971055328,7.3468398762,7.1696304893,0
618,1118,56.3675076515,31.0058033199,0.5066256864,3.5527929928,1
619,1119,56.3765695985,31.0148652670,7.2431665543,3.4633204471,0
620,1120,56.4250595341,31.0633552025,8.8240219871,8.2901006062,0
621,1121,56.4815428274,31.1198384958,8.8913067241,3.6525656875,0
622,1122,56.4890547044,31.1273503728,8.7662300103,6.0100733563,0
623,1123,56.4939654409,31.1322611093,4.5224425635,0.0679539047,1
624,1124,56.5132076365,31.1515033049,3.9927153045,5.6199831491,1
625,1125,56.5416999023,31.1799955707,7.0000429365,5.0530722500,0
626,1126,56.5447112501,31.1830069185,8.4746973221,5.1581691732,0
627,1127,56.5837177804,31.2220134488,5.8064679750,1.6056443505,1
628,1128,56.5980415640,31.2363372324,5.7762010119,3.9586518429,1
629,1129,56.8099759863,31.4482716547,4.9703022379,5.7306292501,1
630,1130,56.8281285841,31.4664242525,3.0460316352,4.5839173481,1
631,1131,56.8666411930,31.5049368614,5.2789170873,1.4634762827,1
632,1132,56.8975637020,31.5358593704,6.1286732312,2.2843825505,1
633,1133,56.9519714122,31.5902670806,5.7809796619,1.0411672600,1
634,1134,57.0670307718,31.7053264403,6.7534758763,9.2061055773,0
635,1135,57.0706012390,31.7088969075,2.3922603674,4.9819520636,1
636,1136,57.1251133770,31.7634090455,0.1312362196,4.1775661729,1
637,1137,57.1441272232,31.7824228917,9.6445003291,5.0055730556,0
638,1138,57.2051594375,31.8434551059,4.9317773644,2.7663549217,1
639,1139,57.4447225433,32.0830182117,9.2312186925,1.6031154038,0
640,1140,57.5848103016,32.2231059700,5.9206678657,3.6691088323,1
641,1141,57.7158148880,32.3541105565,4.7485224750,9.8488417037,1
642,1142,57.7173202393,32.3556159077,0.1499459039,7.9614468879,0
643,1143,57.7424442814,32.3807399498,3.0739831074,4.8554098967,1
644,1144,57.7539526851,32.3922483535,4.2284223526,3.4765048266,1
645,1145,57.8118294135,32.4501250819,6.3541011622,3.3306068085,1
646,1146,57.8183467064,32.4566423748,4.2868318828,2.7402659935,1
647,1147,57.8444333356,32.4827290041,5.8741720958,2.9342994645,1
648,1148,57.8709187451,32.5092144135,0.2678953109,0.3047079366,0
649,1149,57.8842784077,32.5225740761,4.5669133306,2.3564815869,1
650,1150,57.9002058076,32.5385014761,5.1563564750,2.3277754968,1
651,1151,57.9023826073,32.5406782758,8.6076422353,0.6835134217,0
652,1152,57.9514956045,32.5897912729,2.2874510703,8.8037809034,0
653,1153,57.9697077873,32.6080034557,5.0084995791,8.5112320836,1
654,1154,58.0116096425,32.6499053110,0.7770098729,1.2843931955,0
655,1155,58.0130843928,32.6513800613,0.3449008430,2.4136286286,0
656,1156,58.0295472454,32.6678429138,4.0362745945,8.8026818969,1
657,1157,58.0534031377,32.6916988061,3.0484419881,6.5650208798,1
658,1158,58.0621195354,32.7004152038,3.8929999035,3.8359114042,1
659,1159,58.0795401215,32.7178357899,6.3055944578,1.6846551074,1
660,1160,58.1018000094,32.7400956778,1.9226010155,0.1737921110,0
661,1161,58.1270752331,32.7653709015,2.1567615729,1.7671820883,0
662,1162,58.2095600839,32.8478557523,1.5863277419,3.0798534825,0
663,1163,58.2457597947,32.8840554631,3.1162634897,4.2876685526,1
664,1164,58.3005123372,32.9388080056,8.4614891809,9.3698641519,0
665,1165,58.3730082859,33.0113039543,3.2580983380,9.2069166451,0
666,1166,58.3985637991,33.0368594675,9.1341811217,0.5174559016,0
667,1167,58.5124137223,33.1507093907,7.7431253827,2.0416809867,0
668,1168,58.5294951278,33.1677907962,6.3960517716,1.5906914570,1
669,1169,58.5767864220,33.2150820904,6.8725668166,2.4034835224,0
670,1170,58.6216765094,33.2599721778,4.5855702834,8.1938683753,1
671,1171,58.6614405974,33.2997362658,2.2306542129,6.7469455437,0
672,1172,58.7017115515,33.3400072200,0.3631411435,7.6746968333,0
673,1173,58.7055777132,33.3438733817,4.3639020638,8.7913973939,1
674,1174,58.7147631964,33.3530588648,4.1407758314,9.3248414305,1
675,1175,58.7216978731,33.3599935415,8.6831737069,1.3437701663,0
676,1176,58.7262034309,33.3644990993,5.7698544028,8.7086345801,1
