analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
155,655,117.0736163600,24.4413173427,0.8586962910,3.6035380956,1
156,656,117.2314689126,24.5991698954,5.6316059892,4.7693616574,1
157,657,117.2712146959,24.6389156786,6.1678491907,8.5007671061,1
158,658,117.3562430423,24.7239440250,3.3009596020,4.0989595271,1
159,659,117.5333998572,24.9011008399,3.4217748387,3.0363408152,1
160,660,117.7267872440,25.0944882267,4.7346285914,1.0253114224,1
161,661,117.8073341634,25.1750351462,2.2235877653,6.3491304629,1
162,662,117.8088236373,25.1765246200,4.4451147248,4.4134516092,1
163,663,117.9375912920,25.3052922747,4.5747704236,3.0399926559,1
164,664,118.1912105997,25.5589115824,5.9609366455,1.9097505372,1
165,665,118.2809033356,25.6486043184,6.5551874052,0.8990070604,1
166,666,118.4004849563,25.7681859391,5.0968491373,1.5580928710,1
167,667,118.4422791882,25.8099801709,4.8554121759,1.9876615358,1
168,668,118.4610776939,25.8287786766,6.3703520255,0.4519831924,1
169,669,118.7763065090,26.1440074917,5.0844524352,4.6113347494,1
170,670,118.9075631411,26.2752641238,5.9905025916,9.3494860505,1
171,671,118.9855631500,26.3532641327,1.9208835873,4.0983007119,1
172,672,119.0329812776,26.4006822603,6.9746004353,9.4998379059,0
173,673,119.1089243355,26.4766253182,5.7361826002,1.3852560061,1
174,674,119.2578442675,26.6255452503,3.0291568560,3.5284837519,1
175,675,119.2995304139,26.6672313966,1.4741187712,4.9307776727,1
176,676,119.3108342119,26.6785351946,1.9690908062,3.2437069483,0
177,677,119.3422154139,26.7099163966,3.8345180661,0.3606161952,1
178,678,119.3685190466,26.7362200293,6.4170904298,1.0035168451,1
179,679,119.3916101067,26.7593110894,3.9526008455,5.6295956697,1
180,680,119.5304500628,26.8981510455,6.5074259659,1.5979917985,1
181,681,119.7106989523,27.0783999351,5.5067180152,2.0733258475,1
182,682,119.8636677188,27.2313687015,1.6082885140,2.7491764939,0
183,683,120.2004235530,27.5681245357,1.7042856958,3.0747493758,0
184,684,120.2007249507,27.5684259335,6.2270189859,1.2130059690,1
185,685,120.2184864679,27.5861874507,5.8564792745,4.6692740701,1
186,686,120.3105527740,27.6782537568,1.2714109726,3.1014520302,0
187,687,120.3546324547,27.7223334374,5.1806704523,8.6744788214,1
188,688,120.5280184035,27.8957193862,3.6173981806,4.2620126821,1
189,689,120.5340866926,27.9017876753,6.4577853226,1.0644629748,1
190,690,120.5578110602,27.9255120429,3.7353520681,7.8551665744,1
191,691,120.6901247183,28.0578257010,0.8690284859,5.2837832118,1
192,692,120.7173574305,28.0850584132,5.6740080399,2.1685103530,1
193,693,121.1873025820,28.5550035647,5.1663021760,4.5909607937,1
194,694,121.4340259221,28.8017269048,4.5624251904,3.1193668365,1
195,695,121.9126207014,29.2803216841,5.6946091562,3.6824870883,1
196,696,122.0654420450,29.4331430277,3.2941993367,8.4973597461,0
197,697,122.1030003412,29.4707013240,1.4889375798,5.0603441468,1
198,698,122.4709780342,29.8386790170,4.0365160792,5.3796474574,1
199,699,122.5638180510,29.9315190338,6.6919889041,7.0282412801,0
200,700,122.6874162092,30.0551171920,4.9382258510,4.3655798447,1
201,701,122.8463306796,30.2140316623,3.9107960843,9.1296276821,1
202,702,122.8631538797,30.2308548624,4.9966181123,6.5469227174,1
203,703,122.8896337801,30.2573347629,3.6315292969,4.7044606909,1
204,704,122.9019355936,30.2696365763,4.5486287092,2.8488894987,1
205,705,123.0885592529,30.4562602356,7.1294489394,6.3657362144,0
206,706,123.2475739663,30.6152749491,4.8574304073,4.8200293642,1
207,707,123.3883276211,30.7560286038,3.1575601324,2.8072513544,0
208,708,123.6433351884,31.0110361712,3.8918453257,3.2724541873,1
209,709,123.9021607350,31.2698617178,4.3451196204,3.2041357767,1
210,710,123.9627205093,31.3304214920,5.9944580296,4.8331994472,1
211,711,123.9742999806,31.3420009633,2.1704471608,5.0812412257,1
212,712,124.0327073100,31.4004082927,1.0393088078,5.6596160079,1
213,713,124.0975479165,31.4652488992,5.1082845407,3.9825203037,1
214,714,124.1585531949,31.5262541777,4.7164352719,0.5982123844,1
215,715,124.2471705937,31.6148715765,0.3396303934,3.6694959260,1
216,716,124.2561218046,31.6238227874,6.5980454626,3.6794987250,1
217,717,124.3776456890,31.7453466717,0.7187289993,3.7903814300,1
218,718,124.6611134617,32.0288144444,3.5851842276,3.1345209716,1
219,719,124.6784174598,32.0461184425,5.7601500073,7.8583054301,1
220,720,124.7338616291,32.1015626118,5.9821393618,8.1194595450,1
221,721,124.7702890075,32.1379899902,5.6760718038,3.1385905983,1
222,722,124.9910423803,32.3587433630,6.0120236171,0.7324167050,1
223,723,125.2558803316,32.6235813144,4.0016957339,1.3591280232,1
224,724,125.5151435514,32.8828445341,5.1085598769,0.7486505524,1
225,725,125.6585868926,33.0262878753,3.8799426512,2.9534546490,1
226,726,125.7216609814,33.0893619641,5.3960237512,6.4926693143,1
227,727,126.3053994159,33.6731003986,6.0660843584,7.0328454498,1
228,728,126.4678699784,33.8355709612,3.8096675214,3.5711183722,1
229,729,126.6227596754,33.9904606581,5.2810282371,8.1751829555,1
230,730,127.3984434024,34.7661443851,4.6740155581,3.3897847465,1
231,731,127.4194863826,34.7871873653,3.2408801084,6.4404254411,1
232,732,127.4510366940,34.8187376767,5.6061837193,8.4043277139,1
233,733,127.7207014523,35.0884024350,3.7046268687,2.9618797295,1
234,734,127.8299779549,35.1976789376,0.8132149637,5.7007715726,1
235,735,127.8357310468,35.2034320296,3.8343645558,6.3520631618,1
236,736,128.2753044636,35.6430054463,1.3730228334,6.7479257635,0
237,737,128.3265714249,35.6942724076,6.3926872793,3.6610464154,1
238,738,128.3410335918,35.7087345745,5.4811571249,4.9307472717,1
239,739,128.4561583395,35.8238593223,4.1816552767,0.4516698626,1
240,740,128.6869250823,36.0546260651,4.7771066062,4.4675096436,1
241,741,128.7199456656,36.0876466483,6.5492099446,8.7839910099,1
242,742,129.5952478306,36.9629488133,1.2553309292,5.8150241675,1
243,743,129.7112980207,37.0789990034,6.2412949882,6.4369243601,1
244,744,130.0430576360,37.4107586187,5.6130595240,4.0918491240,1
245,745,130.1118528294,37.4795538121,6.2393862836,6.8082857218,1
246,746,130.2304718843,37.5981728671,5.4425620999,8.3336804802,1
247,747,130.3804748968,37.7481758795,5.2761931203,7.6722947563,1
248,748,130.3945836906,37.7622846734,1.5634781059,5.7940115832,1
249,749,130.5786047255,37.9463057082,7.1343752410,6.1773759121,0
250,750,130.6083197134,37.9760206962,4.1433640876,3.8930761463,1
251,751,130.6224809635,37.9901819463,4.8576724162,5.0002734343,1
252,752,130.8950839970,38.2627849798,4.0770040725,1.2962557515,1
253,753,130.9983413288,38.3660423115,5.9298700191,2.9495871872,1
254,754,131.2274896046,38.5951905873,3.6737388491,2.5978067217,1
255,755,131.2430429760,38.6107439587,6.1308725602,6.0952549177,1
256,756,131.2706695106,38.6383704934,6.2360516893,5.9719874726,1
257,757,131.6324473756,39.0001483583,5.5660996169,5.8529221675,1
258,758,131.7467130996,39.1144140823,6.0821928157,7.3023821440,1
259,759,131.7644767277,39.1321777105,1.5054021858,3.8362700968,1
260,760,132.2630905218,39.6307915045,1.0630680257,6.7577525967,0
261,761,132.3137439679,39.6814449507,6.1294612913,4.6819708379,1
262,762,132.3677317076,39.7354326904,1.4525339021,3.5926319404,1
263,763,133.1996994049,40.5674003876,3.3003740109,5.5016326123,1
264,764,134.2403640779,41.6080650607,4.6957502484,2.3345050186,1
265,765,134.3209067450,41.6886077277,2.3196103173,3.9339482256,1
266,766,134.5151975930,41.8828985757,1.5028603684,5.2001727906,1
267,767,134.7420209773,42.1097219600,5.3115215102,0.9023241550,1
268,768,134.7854190169,42.1531199997,5.3651993994,3.8340500389,1
269,769,134.9949744061,42.3626753889,6.1092327309,9.3109174804,1
270,770,135.0395903020,42.4072912847,4.1106187796,5.9813949193,1
271,771,135.1669244351,42.5346254178,5.2123074760,4.8594487230,1
272,772,135.2683792199,42.6360802026,0.9920565655,5.3192987671,1
273,773,135.8821309608,43.2498319435,2.9394527487,4.1134891342,1
274,774,135.9471839972,43.3148849799,3.4292828032,9.2533285381,1
275,775,136.3116405000,43.6793414827,5.2356295892,2.9702885943,1
276,776,136.3914118886,43.7591128713,5.7730909227,4.1890000458,1
277,777,136.4457110525,43.8134120353,4.1111410318,6.6486833992,1
278,778,136.6368365378,44.0045375205,0.3654349290,5.2165037569,1
279,779,136.8129716282,44.1806726110,6.9501566043,6.1783158823,0
280,780,136.8610122731,44.2287132558,3.6329122222,7.3645078528,1
281,781,136.9668134156,44.3345143983,4.5669716174,6.0620190139,1
282,782,136.9684990385,44.3362000212,2.2650615019,6.9318893690,0
283,783,137.0674734919,44.4351744746,6.0377925310,1.6711116955,1
284,784,137.1617416968,44.5294426796,4.9725297270,0.3846246244,1
285,785,137.2653677077,44.6330686904,4.4065453864,1.3707143941,1
