analysis_death_index,raw_death_index,raw_death_time,time_since_burnin,x,y,in_T_zone
415,915,12.9862396348,5.5232632288,9.7536191782,8.7440587695,0
416,916,12.9890776429,5.5261012369,6.1445632596,5.4462447257,1
417,917,13.0203861133,5.5574097073,6.2596392730,6.8535530858,1
418,918,13.0235336220,5.5605572160,3.5492027892,0.4388986834,1
419,919,13.0260329641,5.5630565581,4.1800508100,4.1860108754,1
420,920,13.0300814061,5.5671050001,4.6773532497,3.8489623223,1
421,921,13.0702015440,5.6072251380,3.1577092449,5.7055412438,1
422,922,13.0702096193,5.6072332133,7.5561945272,0.2894408836,0
423,923,13.0808674976,5.6178910916,9.2244822137,2.9605319711,0
424,924,13.0885433785,5.6255669725,7.8441130677,7.8765415469,0
425,925,13.0935557758,5.6305793698,4.5501216941,5.3932976842,1
426,926,13.0987872888,5.6358108828,2.1500135890,1.5863072284,0
427,927,13.1318782921,5.6689018861,0.4153411076,5.1634880294,1
428,928,13.1416937041,5.6787172981,4.1638375638,9.1170574393,1
429,929,13.1420820140,5.6791056080,5.9884449300,6.2652353669,1
430,930,13.1484500160,5.6854736100,6.9885765287,6.5291137754,0
431,931,13.1606352281,5.6976588221,0.6915763674,5.6935691271,1
432,932,13.1667610931,5.7037846871,4.8859863543,3.5585663640,1
433,933,13.1792801480,5.7163037420,8.1203704433,9.0254234678,0
434,934,13.2002606977,5.7372842917,8.6843669969,9.9586215467,0
435,935,13.2081312931,5.7451548871,7.1049901565,1.1820828457,0
436,936,13.2475486901,5.7845722841,5.7318672386,3.0169337038,1
437,937,13.2500895328,5.7871131268,4.7784137999,3.5087043380,1
438,938,13.3243510156,5.8613746097,4.8610925357,4.5712101382,1
439,939,13.3894688358,5.9264924298,9.0072809965,7.4723461940,0
440,940,13.4028279374,5.9398515314,8.1319211683,8.2032012326,0
441,941,13.4185868217,5.9556104157,5.6175079032,0.6116935960,1
442,942,13.4460213320,5.9830449260,8.3917247794,9.2790405416,0
443,943,13.5062923091,6.0433159031,8.7470570496,2.4140205791,0
444,944,13.5088350054,6.0458585994,7.9603729435,9.9961899708,0
445,945,13.5155609361,6.0525845301,9.6552594468,8.5951106017,0
446,946,13.5208380520,6.0578616460,3.0405184671,3.1920122410,0
447,947,13.5289173814,6.0659409754,1.6010112301,4.9388391136,1
448,948,13.5433907320,6.0804143260,4.3384233904,6.3958686426,1
449,949,13.5485444987,6.0855680927,3.0186556112,2.0755962188,0
450,950,13.5840191022,6.1210426962,5.7100511109,6.7461701024,1
451,951,13.5870031584,6.1240267524,7.5252311020,2.9040582191,0
452,952,13.5870860752,6.1241096692,4.8292872721,8.5976265604,1
453,953,13.5888135227,6.1258371167,7.3287968678,9.2769422946,0
454,954,13.6066254121,6.1436490061,5.2907209645,9.3070914679,1
455,955,13.6192709200,6.1562945140,4.5759864897,8.7964930818,1
456,956,13.6220512750,6.1590748690,8.1033608997,1.9592943894,0
457,957,13.6422866119,6.1793102059,6.7371180988,7.5121298475,0
458,958,13.6531887979,6.1902123919,5.2319721146,6.6179525911,1
459,959,13.6849996264,6.2220232204,0.0406339122,5.7047020504,1
460,960,13.6893693252,6.2263929192,3.5850588853,8.4074586321,1
461,961,13.7142314973,6.2512550913,2.0244505418,7.3816341069,0
462,962,13.7310884292,6.2681120232,6.6100129451,0.2725530822,1
463,963,13.7565993791,6.2936229731,9.2891690009,2.9992984507,0
464,964,13.7640022464,6.3010258404,1.6400284766,9.4582639011,0
465,965,13.7676530880,6.3046766820,2.8415110042,3.9917575084,1
466,966,13.7953282340,6.3323518280,2.7479491753,3.6285425866,1
467,967,13.8062832070,6.3433068010,4.4626482152,2.9217570723,1
468,968,13.8111622859,6.3481858799,9.4281721279,9.0263566654,0
469,969,13.8461366004,6.3831601944,3.0539552159,5.3576114880,1
470,970,13.8516915830,6.3887151770,9.4213766680,4.7057886260,0
471,971,13.8609469214,6.3979705154,4.8706016841,8.1346496969,1
472,972,13.8660295556,6.4030531496,0.7039522557,1.4379165812,0
473,973,13.8869880707,6.4240116647,4.2966855646,6.1827640723,1
474,974,13.8986297653,6.4356533593,3.7842527045,6.7095167237,1
475,975,13.9200836032,6.4571071972,9.6366269622,1.0741044792,0
476,976,13.9266484909,6.4636720849,7.2283654003,0.2149332429,0
477,977,13.9372326036,6.4742561976,9.4135446246,3.5446346295,0
478,978,13.9432276936,6.4802512876,0.2880619686,5.7522198108,1
479,979,13.9673358620,6.5043594560,7.0303177306,0.1134564315,0
480,980,13.9680734356,6.5050970296,5.5453416456,8.8340516705,1
481,981,13.9682706500,6.5052942440,3.4054647367,6.3935178073,1
482,982,13.9813822498,6.5184058438,4.9282666085,5.5079933907,1
483,983,13.9814943826,6.5185179766,5.2745780797,1.3067450746,1
484,984,13.9818911204,6.5189147144,4.0233176898,7.0928729017,1
485,985,13.9822483548,6.5192719488,3.1763987310,9.8298631980,0
486,986,13.9923366997,6.5293602937,7.5689749414,2.2750483012,0
487,987,14.0113789875,6.5484025815,7.3244392585,6.1720516013,0
488,988,14.0310621477,6.5680857417,5.3148399713,9.8389363075,1
489,989,14.0380236788,6.5750472728,5.2254879711,7.5387626381,1
490,990,14.0438798544,6.5809034484,8.2445643842,8.1887618259,0
491,991,14.0610631721,6.5980867661,6.4274987923,0.9412476542,1
492,992,14.0612563618,6.5982799558,6.6676914926,9.5572185833,0
493,993,14.0625279892,6.5995515832,5.0586769685,8.2065615839,1
494,994,14.0648514444,6.6018750384,2.8244514132,2.0291509774,0
495,995,14.0676521539,6.6046757479,8.5029848933,6.4101449151,0
496,996,14.0983543589,6.6353779529,1.3967970539,9.0282604097,0
497,997,14.1099684510,6.6469920450,0.0989816849,8.2474731165,0
498,998,14.1134014767,6.6504250707,2.4901926689,1.7087076295,0
499,999,14.1503863507,6.6874099447,9.3562342059,6.9078954947,0
500,1000,14.1877010311,6.7247246251,6.8092607103,7.5328735732,0
501,1001,14.1930704314,6.7300940254,5.6146026610,3.8869409886,1
502,1002,14.1986384235,6.7356620175,0.3644597740,3.9839018974,1
503,1003,14.2106416502,6.7476652442,4.1526244596,9.0976183357,1
504,1004,14.2194739019,6.7564974959,1.6777424102,2.5017974300,0
505,1005,14.2204389587,6.7574625527,8.8595222769,0.0023465248,0
506,1006,14.2288217650,6.7658453590,0.6893340559,2.6342777434,0
507,1007,14.2461324424,6.7831560364,2.3138349531,8.3486158472,0
508,1008,14.2516795540,6.7887031480,4.4195829391,3.8828857377,1
509,1009,14.2584542412,6.7954778352,5.4512472657,3.2906059750,1
510,1010,14.2879332879,6.8249568819,7.1682404299,8.8062574419,0
511,1011,14.2909185330,6.8279421270,8.7208574322,9.7351575275,0
512,1012,14.2957750486,6.8327986426,3.0154712536,8.1644698493,0
513,1013,14.2982863356,6.8353099296,7.6935029678,6.0076702655,0
514,1014,14.3348469298,6.8718705238,7.6298598140,5.4372891103,0
515,1015,14.3432938690,6.8803174630,1.5902546807,0.5339007880,0
516,1016,14.3513282542,6.8883518482,1.2782657968,5.1931190175,1
517,1017,14.3548033130,6.8918269070,2.3432615455,0.8852116796,0
518,1018,14.3720612346,6.9090848286,3.3906992385,7.8172043997,1
519,1019,14.3934318362,6.9304554302,0.8720953734,4.7537179209,1
520,1020,14.3934409679,6.9304645619,5.5753242542,3.5147007698,1
521,1021,14.3982282727,6.9352518667,5.3127319438,3.2943930877,1
522,1022,14.4208028585,6.9578264525,1.2499122420,6.5423834518,1
523,1023,14.4482702242,6.9852938182,0.6285093481,4.9183181216,1
524,1024,14.4773102430,7.0143338370,9.3410560555,0.2394932032,0
525,1025,14.4817732578,7.0187968518,0.3394467874,9.6640617784,0
526,1026,14.4829193440,7.0199429380,1.8746694400,4.1209659638,1
527,1027,14.4971592151,7.0341828091,1.3980714286,3.6590185743,1
528,1028,14.5500129045,7.0870364985,4.8985481496,5.7868793751,1
529,1029,14.5575906600,7.0946142540,3.0778607248,5.9534741199,1
530,1030,14.5588392594,7.0958628534,3.0519184559,1.8952586102,0
531,1031,14.5599568886,7.0969804826,2.4847534898,1.9417660599,0
532,1032,14.5937392130,7.1307628070,8.7711530074,1.9860186495,0
533,1033,14.6100833334,7.1471069274,3.7529605381,6.8601988667,1
534,1034,14.6184398216,7.1554634156,5.4952356484,6.3540194535,1
535,1035,14.6281247193,7.1651483133,2.4501259924,9.1500349354,0
536,1036,14.6375043068,7.1745279008,6.6303408740,6.1109110282,1
537,1037,14.6697390655,7.2067626595,9.0095630289,5.6882092378,0
538,1038,14.6904881843,7.2275117783,1.7568003996,5.8982344198,1
539,1039,14.6982236478,7.2352472418,3.9573552154,7.4174782649,1
540,1040,14.7010186424,7.2380422364,1.8153813254,8.8025943475,0
541,1041,14.7401634230,7.2771870170,1.3447652893,0.7001138793,0
542,1042,14.7556538459,7.2926774399,4.4599933741,8.1403514059,1
543,1043,14.7628469116,7.2998705056,5.1000353078,0.8291038637,1
544,1044,14.7966800681,7.3337036621,8.4025178186,7.9663448306,0
545,1045,14.8574203994,7.3944439934,0.1234107045,5.1164561684,1
546,1046,14.8605000710,7.3975236650,4.1570778952,4.7652932954,1
547,1047,14.8651987871,7.4022223811,8.3592512268,6.9636549007,0
548,1048,14.9236595637,7.4606831577,8.0314601749,1.7831637878,0
549,1049,14.9296723673,7.4666959613,9.6031218828,8.0755250116,0
550,1050,14.9541422416,7.4911658356,3.6172383640,2.3274429970,1
551,1051,14.9830530860,7.5200766800,9.0972050607,0.7671510089,0
552,1052,14.9892755774,7.5262991714,5.3067640633,5.8837756960,1
553,1053,14.9901342635,7.5271578575,4.2203805955,5.8367647606,1
554,1054,14.9924123564,7.5294359504,8.3295417935,1.8552406217,0
555,1055,14.9996926253,7.5367162193,0.7665198912,7.2316510238,0
556,1056,15.0027254475,7.5397490415,8.8995488916,3.2911028474,0
557,1057,15.0364660902,7.5734896842,0.9375765376,1.6984142473,0
558,1058,15.0448474307,7.5818710247,2.1202911610,5.1697218806,1
559,1059,15.0482537676,7.5852773616,2.7605350330,3.5528373455,1
560,1060,15.0531144058,7.5901379998,4.9303662732,8.5143521766,1
561,1061,15.0581514313,7.5951750253,0.3296969999,6.6819078261,0
562,1062,15.0681527654,7.6051763594,5.6027551074,0.4927801090,1
563,1063,15.0712076684,7.6082312624,4.5714892555,1.1204286140,1
564,1064,15.0724699215,7.6094935155,3.0599112452,0.1159808142,0
565,1065,15.0760941121,7.6131177061,5.9632081062,0.9073698597,1
