death_index,death_time,x,y
174,32.1695689111,1.2779835431,4.1037242274
175,32.2173208651,4.0036871268,1.8078162851
176,32.4443156337,4.1565821516,5.4781186463
177,32.6198284873,5.5164879790,5.9614802746
178,32.6296490317,6.1429208474,4.6277191897
179,32.7507436656,1.1223639040,3.9039008496
180,32.7859089969,4.1421477286,1.4718166778
181,32.8109204852,2.8861917099,4.4744167121
182,32.8433277167,4.8016643511,0.8317488770
183,33.0423249486,1.9511067231,3.0058375159
184,33.2311504028,4.7161159468,2.4129856254
185,33.3574671171,3.5265823409,9.2562895239
186,33.3979417446,7.1373924444,1.3231745109
187,33.4685432383,6.2048854815,7.4247379148
188,33.5406085493,0.0386849745,3.3026472270
189,33.5759516758,6.6442413290,0.8552402173
190,33.9472524954,3.3661615486,4.8305496922
191,33.9915721750,1.0868258819,3.8128710094
192,34.1147367068,6.0313158130,8.3913183131
193,34.1514229813,4.6744363053,4.9082643827
194,34.2669494998,3.8894163517,0.5466134061
195,34.3986125806,4.6703858247,0.1432545692
196,34.6626128229,0.9989657008,3.1149306990
197,34.7955623686,2.3919087310,3.6016918009
198,35.0965431547,2.0151854080,5.2355811977
199,35.3141955779,5.7445322996,3.3096192917
200,35.4453356638,6.5342937957,7.3206631473
201,35.4478411272,3.7739051879,5.9982570861
202,36.0555487434,6.7177546716,8.2368563006
203,36.1221864232,1.2074280846,6.2936921764
204,36.2131246007,5.0830597024,6.9295402493
205,36.8817026112,2.3952527945,5.0460738929
206,36.8856942304,6.4279643754,3.9574253850
207,37.0062624133,5.6417485434,8.2703340415
208,37.1397111667,5.1785598166,5.3174006554
209,37.3018809683,6.1415594516,4.8203896186
210,37.7722735267,5.3898838392,1.8857758282
211,37.8364323873,5.3966935939,1.5489986158
212,37.8504352830,4.4363412198,1.6109276931
213,37.9314443539,2.9730733566,1.9147945386
214,38.1793959237,5.7000877063,6.1794244397
215,38.3223133246,6.2859513354,5.4938118195
216,38.4099932700,3.9306911588,9.3544970986
217,38.7333913887,2.8346362554,4.0155050514
218,38.8678155371,4.6321517506,7.2804657457
219,39.0910032051,5.0234215105,0.9566914035
220,39.2660240213,0.0965716311,6.2295495056
221,39.3173552429,5.8492987712,5.1872920422
222,39.3640804202,4.8331953897,2.9382058849
223,39.4367008819,4.9872976725,6.4898050108
224,39.6606343410,0.9436166696,5.8630086945
225,39.7480830722,4.7291201600,1.6852058913
226,40.0810482448,4.5932875065,6.5874768973
227,40.5676272215,4.7613301196,7.3112936490
228,40.7032987141,2.8495033043,4.8580234232
229,40.8860213101,4.9050382920,6.2239306292
230,40.9429974924,4.5169108891,6.4368164603
231,41.0875473191,6.0291681567,2.8962156715
232,41.3780355054,5.5469532806,9.7904794659
233,41.3881917495,4.0713214426,9.5794689042
234,41.5178888318,6.0682505103,1.4764180608
235,41.6804400011,1.5478736012,5.7442685368
236,42.0591138665,0.6154264352,5.1606785807
237,42.1878537925,3.7070084624,5.4209733533
238,42.2315373568,5.7612566281,6.1829586447
239,42.5068449327,6.1024561530,8.3791469722
240,42.5616815265,4.3217578211,8.1493276178
241,42.7009673784,6.7996333182,1.5028718797
242,43.1329610367,4.3764313955,1.4091177259
243,43.1543926270,4.6815199123,1.9620985400
244,43.3158740718,5.3202535714,6.7831928547
245,43.4738452136,6.4629638185,2.2044754683
246,43.4785719605,1.2680217050,6.1493295895
247,43.5085747955,1.7914265391,4.1821761723
248,43.6704523281,4.9958443374,7.4612756082
249,43.9448557617,2.6367724005,5.3428189598
250,44.3497744918,1.0679449688,4.1982491689
251,44.4828823825,1.1452137520,3.2788239838
252,44.5074896823,0.9566687754,6.3842473050
253,44.8032244092,6.5201153277,7.6537041130
254,45.0790720230,6.3752140484,8.1169966839
255,45.2628573444,4.6908506672,4.9652745851
256,45.4297176187,3.9613998254,8.9267676552
257,45.4593083105,3.5247810214,0.1184568761
258,45.7674995352,5.7623062709,0.8728320501
259,45.8347806773,1.1075721465,4.5355256140
260,45.9476662954,0.2645926995,5.5482667388
261,46.0093598734,0.8925213691,5.6576830163
262,46.4173151219,5.4058740522,2.0771757632
263,46.4782222470,5.8499609957,0.2852708128
264,46.5098662849,5.6710127561,6.0659499316
265,46.5594939676,2.9657249549,5.6768769774
266,46.6491149806,1.1593459992,6.3901705577
267,47.0853763787,1.3051747522,2.9731233307
268,47.1286307277,1.6240882102,6.4590188353
269,47.2264817064,4.7136586202,9.5115703075
270,47.3879111673,1.4348057605,6.5584699885
271,47.4414332830,6.5133976290,4.9066517229
272,47.5206756507,4.4237393470,3.7075215363
273,47.5806799754,4.2689268289,9.9756593598
274,47.5881775463,3.2737141841,8.7201266844
275,47.6405829947,6.4747250290,8.7217143718
276,48.0155510327,5.2352426983,9.8476297368
277,48.0801741383,4.0272854303,9.4893338249
278,48.8394138990,2.7019976686,7.8537295676
279,48.8500476605,2.1587718770,6.4746471255
280,48.8804678192,2.9552770593,4.0788709937
281,48.9114684810,3.3118808049,6.1623013069
282,49.1711831201,4.9727723655,4.3328491623
283,49.3479096175,4.9322996594,5.3138790684
284,49.4437404279,4.5503002866,3.5416938211
285,49.5410777324,5.8308064124,7.8698559455
286,50.1473321241,0.8889586650,4.4067766021
287,50.2702548605,1.0120595307,3.3399664225
288,50.6923023521,6.9663317058,1.5525998896
289,50.7039465566,1.2520610905,3.9525614831
290,50.9172319897,4.6790449687,4.7495923618
291,51.1454089718,5.9177201541,0.0660381380
292,51.2293564937,6.2691004294,0.2631995664
293,51.3671489538,4.6773949462,3.7723851616
294,51.3739314683,6.5767013876,7.8317655131
295,51.6638446420,1.1239467789,5.2076911312
296,52.0434361365,2.7522541735,4.2946395333
297,52.0681312369,3.2503926011,3.4421918649
298,52.4730785870,4.3699870094,3.1664567115
299,52.4874847049,2.9260237108,3.0680582759
300,52.5302086547,3.8504466410,2.4226269564
301,52.5897892836,1.6371230549,5.7740248392
302,53.2671867077,2.5344865347,4.6026787161
303,53.3847368220,5.2932396966,3.3223576876
304,53.4465175824,5.2012989542,3.4971042080
305,53.8271194649,5.0306256112,5.3785391275
306,53.8546733119,4.5636838777,5.4475044816
307,54.1717478091,1.6285684719,5.8944307048
308,54.3006763416,2.8787980099,4.5054076446
309,54.6383876853,4.1077850490,0.9607137661
310,54.8651266429,4.0829190504,9.9428355883
311,54.9289728060,4.1242139784,7.1781417166
312,55.0990116200,4.9100135909,6.2354481118
313,55.1487046986,5.2834481262,7.9153099482
314,55.2031758507,5.1312806114,5.9915867553
315,55.4307351454,2.4231796449,6.4792811370
316,55.7084520048,4.6058530118,7.4031651412
317,55.7252502020,6.4122142300,1.6424279955
318,55.8853752402,3.8130260223,9.3241515852
319,56.0581341669,1.2063353990,5.0901293527
320,56.1961609430,4.5601965147,4.6116027369
321,56.2913274083,4.2946262422,3.8116404266
322,56.3795424159,2.0370505545,4.2134523063
323,56.4767707075,5.5723682762,5.6538560057
324,56.6110430877,4.7403870020,8.5488704900
325,56.8209522019,3.6000086853,5.8396117321
326,57.0495093032,4.4849468600,6.5425747605
327,57.1492932006,5.4803696087,3.6457679309
328,57.2419772095,5.0634934825,9.0580452663
329,57.3949558812,3.9170784875,5.3860452447
330,57.4414354746,6.0240760799,4.9218727874
331,57.5007012250,4.6179066474,9.9255042457
332,57.5393729979,7.1573979212,8.4527150627
333,57.8674828867,2.5372887382,4.5243055565
334,58.0867283600,6.5499263602,8.0099379319
335,58.1791165096,1.8825866853,5.3692858766
336,58.2411156088,3.3450753995,6.5178676475
337,58.4361877945,2.2991040161,6.3957711609
338,58.5217829871,4.2385044377,7.4051690080
339,58.7605062369,1.4466657504,5.5143166233
340,59.2193530050,3.5765138036,1.0786831044
341,59.2979282650,3.3434869868,3.2490874855
342,60.1037086627,6.6173168924,3.8025258307
343,60.2021807932,5.8711510672,8.0006700041
344,60.3422064722,0.7026497473,4.1768263706
345,60.5607699599,4.5855156526,5.1896593002
346,60.6056751450,5.9020895556,9.0217177731
347,60.6124033514,3.7221808001,9.6685379130
348,60.8763123225,3.8993863591,7.7850173780
349,60.9468882854,2.8014679776,8.4318718939
350,60.9740326210,3.6807227778,9.0898551244
351,61.1346129917,3.4488738067,8.5970912415
352,61.1989442411,3.2749556649,9.8399246393
353,61.4730364347,5.5877639053,9.6504031748
354,61.4853104187,3.9703369779,3.8314042902
355,61.5064780888,6.7870065071,9.7120585933
356,61.6684674670,3.4747354403,6.4896798328
357,61.7878890349,5.3476847351,8.3769989962
358,61.8296782982,3.3791714157,8.0676776534
359,61.8928692254,5.7088409251,3.2252736998
360,62.0447398536,1.3999720190,6.1123294585
361,62.1971728785,2.5767604375,4.2213009097
362,62.2599465029,6.4084793010,1.6312437129
363,62.3321205295,3.6247674870,1.6192042186
364,62.4592720234,3.7660262705,8.4005760566
365,62.4724229093,4.8505765388,5.4075713792
366,62.5861575748,5.2835796676,9.1776966009
367,62.6537582385,1.4009921566,6.3091899786
368,62.6689143610,4.2372803601,2.2218365479
369,63.0569135182,5.6704849878,4.3845257889
370,63.2028966365,3.8577136331,3.9538783377
371,63.2601425598,5.5457697644,5.8939277509
372,63.3346900412,5.9248080993,6.5561518123
373,63.4679697289,1.5597277132,6.2521779341
374,63.4921957509,3.7382302879,3.1559161584
375,63.5753779085,6.3421713166,4.6763107505
376,63.9095454496,1.2220754797,4.8611445664
377,63.9985034693,5.3114239640,6.6301354661
378,64.2491823696,6.9575776350,2.8626838912
379,64.3280501787,8.1331743967,8.1360823564
380,64.4273082286,1.5810719882,5.5214492641
381,64.4382434005,5.1627459770,3.2385523138
382,64.5222444004,6.7155871608,7.8319644608
383,64.7433746740,4.3656245480,9.5884991724
384,64.9355580009,1.4610936138,6.1945664767
385,65.3910738875,5.2487672367,1.3001004774
386,65.5499635047,4.2050779640,4.3774160477
387,65.5745568904,4.9576094343,4.9412750369
388,65.6127693029,3.8224673462,4.8050739694
389,65.7392230670,6.0972135385,7.6376838569
390,65.7590676127,6.6662398813,5.5668841096
391,65.7748989449,5.2328501739,1.8852378016
392,65.8834426240,5.6762583866,8.0581396366
393,66.0911889690,5.2201483494,1.1180135580
394,66.2403199028,1.1006779931,4.8573171888
395,66.5323628099,5.6103328561,7.4130119826
396,66.6808217200,4.7921328341,3.5149039168
